"ASevents","GeneID","geneSymbol","chr","strand","start","end","PValue","FDR","IncLevelDifference","WT","KI","location"
"se","ENSMUSG00000020883","Fbxl20","chr11","-",98115392,98115447,2.49536512175e-05,0.000276021692769,0.105,0.976,0.871333333333333,"chr11:98115392-98115447"
"se","ENSMUSG00000025007","Aldh18a1","chr19","-",40586126,40586192,0.000781551381124,0.00484685150154,0.03,0.995333333333333,0.965333333333333,"chr19:40586126-40586192"
"se","ENSMUSG00000028717","Tal1","chr4","+",115059518,115059666,8.91161881833e-06,0.000116403154462,-0.085,0.915,1,"chr4:115059518-115059666"
"se","ENSMUSG00000038914","Dido1","chr2","-",180690521,180690633,0.00702319154139,0.0311647018074,0.024,0.0763333333333333,0.052,"chr2:180690521-180690633"
"se","ENSMUSG00000052812","Atad2b","chr12","+",5000639,5000693,1.77435843796e-12,2.70178930669e-10,0.142,0.149333333333333,0.00733333333333333,"chr12:5000639-5000693"
"se","ENSMUSG00000029470","P2rx4","chr5","+",122724593,122724674,0.00028950000677,0.00211834358029,-0.097,0.88,0.976666666666667,"chr5:122724593-122724674"
"se","ENSMUSG00000057469","E2f6","chr12","+",16813846,16813912,5.0449539768e-08,1.61095666308e-06,0.102,0.105333333333333,0.00366666666666667,"chr12:16813846-16813912"
"se","ENSMUSG00000041890","Git2","chr5","-",114743730,114743880,5.45373746164e-10,3.42315696781e-08,0.189,0.591,0.401666666666667,"chr5:114743730-114743880"
"se","ENSMUSG00000041890","Git2","chr5","-",114743775,114743880,3.43280959214e-12,4.58963851567e-10,0.198,0.422666666666667,0.225,"chr5:114743775-114743880"
"se","ENSMUSG00000041890","Git2","chr5","-",114764586,114764673,4.99607332287e-05,0.00048788851422,0.018,0.995,0.976666666666667,"chr5:114764586-114764673"
"se","ENSMUSG00000024789","Jak2","chr19","+",29288673,29288801,0.0040481910739,0.0194770339995,0.237,1,0.763333333333333,"chr19:29288673-29288801"
"se","ENSMUSG00000024789","Jak2","chr19","+",29291166,29291301,9.65671986819e-13,1.55690939444e-10,0.208,0.953666666666667,0.746,"chr19:29291166-29291301"
"se","ENSMUSG00000026495","Efcab2","chr1","+",178474881,178474961,7.92787373527e-08,2.32395514397e-06,0.279,1,0.721333333333333,"chr1:178474881-178474961"
"se","ENSMUSG00000054770","Kctd18","chr1","-",57965350,57965540,0.0068788378927,0.0306233051287,0.241,1,0.759333333333333,"chr1:57965350-57965540"
"se","ENSMUSG00000032952","Ap4b1","chr3","+",103818803,103818907,0.000200866706854,0.00155447199728,-0.055,0.945,1,"chr3:103818803-103818907"
"se","ENSMUSG00000002885","Adgre5","chr8","-",83730110,83730257,0.000763182308745,0.00476662858614,0.118,0.474333333333333,0.356666666666667,"chr8:83730110-83730257"
"se","ENSMUSG00000002885","Adgre5","chr8","-",83734295,83734410,0.0023483714794,0.0121941802901,0.028,0.972666666666667,0.944666666666667,"chr8:83734295-83734410"
"se","ENSMUSG00000052395","Rft1","chr14","+",30682750,30682856,2.02529892146e-06,3.4802550432e-05,-0.068,0.932,1,"chr14:30682750-30682856"
"se","ENSMUSG00000032580","Rbm5","chr9","-",107755852,107755913,0.000876216834432,0.00535244369212,-0.02,0.961,0.981,"chr9:107755852-107755913"
"se","ENSMUSG00000028800","Hdac1","chr4","-",129528926,129529044,0.000753507486488,0.00471515624631,-0.039,0.960666666666667,1,"chr4:129528926-129529044"
"se","ENSMUSG00000056870","Gulp1","chr1","+",44766013,44766151,0.000298702635007,0.00217160249014,-0.06,0.939666666666667,1,"chr1:44766013-44766151"
"se","ENSMUSG00000036281","Snapc4","chr2","-",26374642,26374747,0.000201676824582,0.0015592738036,-0.048,0.952333333333333,1,"chr2:26374642-26374747"
"se","ENSMUSG00000070034","Sp110","chr1","-",85579056,85579199,5.03522868078e-05,0.00049083779286,-0.026,0.956666666666667,0.983,"chr1:85579056-85579199"
"se","ENSMUSG00000044134","Pheta1","chr5","+",121850469,121850546,0.00013505169179,0.00112531534032,-0.121,0.879333333333333,1,"chr5:121850469-121850546"
"se","ENSMUSG00000031505","Naxd","chr8","+",11511876,11511997,0.000220629898308,0.00168052740976,-0.041,0.932333333333333,0.973333333333333,"chr8:11511876-11511997"
"se","ENSMUSG00000034621","Gpatch8","chr11","-",102531312,102531330,2.65669934019e-05,0.000290681441447,-0.161,0.0446666666666667,0.205666666666667,"chr11:102531312-102531330"
"se","ENSMUSG00000042082","Arsb","chr13","+",93807495,93807703,7.6831610168e-05,0.000696908896422,-0.039,0.961333333333333,1,"chr13:93807495-93807703"
"se","ENSMUSG00000017978","Cadps2","chr6","-",23287663,23287771,0.00304849225162,0.0152841990727,0.146,1,0.854,"chr6:23287663-23287771"
"se","ENSMUSG00000017978","Cadps2","chr6","-",23314132,23314207,0.00481282760938,0.0226587317596,0.246,1,0.754333333333333,"chr6:23314132-23314207"
"se","ENSMUSG00000036990","Otud4","chr8","+",79655659,79655792,0.00629228490397,0.0284667469727,0.02,1,0.979666666666667,"chr8:79655659-79655792"
"se","ENSMUSG00000051378","Kif18b","chr11","-",102924467,102924713,1.91631732704e-09,1.01657543365e-07,0.041,0.0426666666666667,0.002,"chr11:102924467-102924713"
"se","ENSMUSG00000027206","Cops2","chr2","-",125842621,125842711,8.41882119573e-12,1.00324285916e-09,0.074,1,0.925666666666667,"chr2:125842621-125842711"
"se","ENSMUSG00000027206","Cops2","chr2","-",125842621,125842732,8.57203197313e-13,1.40967065798e-10,0.118,1,0.882,"chr2:125842621-125842732"
"se","ENSMUSG00000068250","Amn1","chr6","-",149183393,149183538,2.17102790656e-06,3.65614786666e-05,0.094,1,0.906333333333333,"chr6:149183393-149183538"
"se","ENSMUSG00000037519","Ppfia1","chr7","-",144481084,144481250,0.00175377257735,0.00954676929312,0.042,1,0.958333333333333,"chr7:144481084-144481250"
"se","ENSMUSG00000022020","Naa16","chr14","-",79359455,79359528,1.35741062152e-05,0.000167085461609,-0.153,0.811666666666667,0.964666666666667,"chr14:79359455-79359528"
"se","ENSMUSG00000022020","Naa16","chr14","-",79381494,79381629,7.25437132758e-05,0.000664613573716,0.101,1,0.899,"chr14:79381494-79381629"
"se","ENSMUSG00000066568","Lsm14a","chr7","-",34347925,34347982,0.00112366189332,0.00660186489305,0.072,0.752,0.680333333333333,"chr7:34347925-34347982"
"se","ENSMUSG00000022685","Parn","chr16","-",13652644,13652710,7.21274673676e-06,9.78660231733e-05,0.094,0.999333333333333,0.905333333333333,"chr16:13652644-13652710"
"se","ENSMUSG00000031398","Plxna3","chrX","+",74330968,74331592,0.00355430614968,0.0174011803011,-0.198,0.802333333333333,1,"chrX:74330968-74331592"
"se","ENSMUSG00000040054","Baz2a","chr10","+",128092459,128092850,0.0115392873696,0.0475240623073,0.336,0.727333333333333,0.391333333333333,"chr10:128092459-128092850"
"se","ENSMUSG00000018412","Kansl1","chr11","-",104342858,104343047,5.04692023083e-05,0.000491686037891,0.082,0.96,0.878333333333333,"chr11:104342858-104343047"
"se","ENSMUSG00000018412","Kansl1","chr11","-",104368679,104368778,0.000232704690679,0.00175703794225,-0.115,0.762666666666667,0.878,"chr11:104368679-104368778"
"se","ENSMUSG00000018412","Kansl1","chr11","-",104426423,104426468,0.0094119395651,0.0401815540364,0.079,0.196666666666667,0.118,"chr11:104426423-104426468"
"se","ENSMUSG00000027667","Zfp639","chr3","+",32515283,32515352,0.000360118249924,0.00253516464897,-0.128,0.872,1,"chr3:32515283-32515352"
"se","ENSMUSG00000026879","Gsn","chr2","+",35266819,35266903,0.000787157559086,0.0048774702559,-0.036,0.964333333333333,1,"chr2:35266819-35266903"
"se","ENSMUSG00000026159","Agfg1","chr1","+",82880007,82880127,8.44652779874e-06,0.000111471095839,0.056,1,0.944333333333333,"chr1:82880007-82880127"
"se","ENSMUSG00000031388","Naa10","chrX","-",73919501,73919540,0.000129284814752,0.00108584718008,-0.049,0.950666666666667,1,"chrX:73919501-73919540"
"se","ENSMUSG00000028015","Ctso","chr3","+",81944861,81945029,0.005068012544,0.023677121104,0.049,0.984,0.935,"chr3:81944861-81945029"
"se","ENSMUSG00000028015","Ctso","chr3","+",81946313,81946435,0.000385827870413,0.00268171569271,-0.048,0.952333333333333,1,"chr3:81946313-81946435"
"se","ENSMUSG00000051674","Dcun1d4","chr5","+",73555358,73555463,0.000234949469036,0.00177154700518,0.116,0.993333333333333,0.877333333333333,"chr5:73555358-73555463"
"se","ENSMUSG00000033099","Nol12","chr15","+",78935808,78935899,5.40649069958e-09,2.43588327547e-07,0.469,0.576,0.106666666666667,"chr15:78935808-78935899"
"se","ENSMUSG00000024989","Cep55","chr19","+",38057409,38057542,4.22936224487e-06,6.30311948945e-05,-0.079,0.921,1,"chr19:38057409-38057542"
"se","ENSMUSG00000024989","Cep55","chr19","+",38057409,38057566,4.98141756133e-06,7.24309564952e-05,-0.11,0.89,1,"chr19:38057409-38057566"
"se","ENSMUSG00000031627","Irf2","chr8","+",46793492,46793585,0.000909999684806,0.00552008292757,-0.022,0.978333333333333,1,"chr8:46793492-46793585"
"se","ENSMUSG00000031627","Irf2","chr8","+",46807704,46807751,0.000141938008153,0.00117022693211,0.055,1,0.945,"chr8:46807704-46807751"
"se","ENSMUSG00000039286","Fndc3b","chr3","-",27508480,27508539,0.00171843629736,0.00940735183425,0.049,0.993,0.944333333333333,"chr3:27508480-27508539"
"se","ENSMUSG00000031979","Cog2","chr8","+",124544009,124544161,0.000643898027657,0.00411379295448,-0.064,0.917333333333333,0.981,"chr8:124544009-124544161"
"se","ENSMUSG00000070733","Fryl","chr5","-",73194985,73195113,6.96117040466e-06,9.46868877623e-05,0.039,0.973666666666667,0.935,"chr5:73194985-73195113"
"se","ENSMUSG00000025234","Arih1","chr9","-",59426613,59426706,2.26435442821e-05,0.000254353200628,0.025,1,0.975,"chr9:59426613-59426706"
"se","ENSMUSG00000025234","Arih1","chr9","-",59454401,59454469,0.000225928594732,0.00171333820985,0.025,0.978,0.953,"chr9:59454401-59454469"
"se","ENSMUSG00000021549","Rasa1","chr13","-",85246590,85246643,2.6645352591e-15,7.82469327427e-13,0.103,0.995666666666667,0.893,"chr13:85246590-85246643"
"se","ENSMUSG00000016619","Nup50","chr15","+",84924768,84924896,1.57382305052e-05,0.0001887784104,-0.037,0,0.0366666666666667,"chr15:84924768-84924896"
"se","ENSMUSG00000079179","Rab10os","chr12","+",3238833,3239009,0.00382384357694,0.0185539844607,0.364,0.363666666666667,0,"chr12:3238833-3239009"
"se","ENSMUSG00000037151","Lrrc20","chr10","+",61482335,61482482,8.31287421139e-05,0.000747023040472,-0.121,0.857666666666667,0.979,"chr10:61482335-61482482"
"se","ENSMUSG00000064105","Cnnm2","chr19","+",46871655,46871721,2.55379051239e-11,2.6085145948e-09,0.549,0.549,0,"chr19:46871655-46871721"
"se","ENSMUSG00000031657","Heatr3","chr8","+",88161877,88161966,1.13444532657e-08,4.56202176857e-07,0.073,1,0.926666666666667,"chr8:88161877-88161966"
"se","ENSMUSG00000051950","B3glct","chr5","+",149696424,149696474,1.02674112373e-05,0.000131501228814,-0.085,0.914666666666667,1,"chr5:149696424-149696474"
"se","ENSMUSG00000051950","B3glct","chr5","+",149726753,149726865,0.00681889877802,0.0304109895576,0.039,1,0.961333333333333,"chr5:149726753-149726865"
"se","ENSMUSG00000059495","Arhgef12","chr9","-",42992535,42992571,6.56035354929e-08,1.97591600949e-06,0.097,1,0.902666666666667,"chr9:42992535-42992571"
"se","ENSMUSG00000032409","Atr","chr9","+",95866582,95866761,0,0,0.214,0.985333333333333,0.771,"chr9:95866582-95866761"
"se","ENSMUSG00000022515","Anks3","chr16","-",4947648,4947758,0.00298772661031,0.0150162481988,-0.043,0.957333333333333,1,"chr16:4947648-4947758"
"se","ENSMUSG00000022515","Anks3","chr16","-",4956549,4956619,1.16673666672e-06,2.17786430014e-05,0.096,0.103333333333333,0.007,"chr16:4956549-4956619"
"se","ENSMUSG00000022515","Anks3","chr16","-",4960396,4960568,0.000292140850658,0.00213143579817,-0.103,0.897333333333333,1,"chr16:4960396-4960568"
"se","ENSMUSG00000006411","Nectin4","chr1","+",171386159,171386234,1.08165147061e-07,2.99962199565e-06,-0.352,0.647666666666667,1,"chr1:171386159-171386234"
"se","ENSMUSG00000053877","Srcap","chr7","+",127514164,127514240,5.01619803495e-06,7.2679627035e-05,-0.048,0.899333333333333,0.947333333333333,"chr7:127514164-127514240"
"se","ENSMUSG00000079563","Pglyrp2","chr17","-",32418107,32418988,0.00807293368848,0.0352146935032,0.027,0.997666666666667,0.971,"chr17:32418107-32418988"
"se","ENSMUSG00000055491","Pprc1","chr19","+",46062143,46062290,4.95842128018e-05,0.000485075776041,0.045,0.991,0.946333333333333,"chr19:46062143-46062290"
"se","ENSMUSG00000024174","Pot1b","chr17","-",55695026,55695317,0.00658348160918,0.0295484047661,0.047,1,0.953333333333333,"chr17:55695026-55695317"
"se","ENSMUSG00000101904","Gm29427","chr1","-",130705376,130705501,0.000866727756994,0.00530455450829,-0.089,0.910666666666667,1,"chr1:130705376-130705501"
"se","ENSMUSG00000019854","Reps1","chr10","+",18107667,18107748,5.42763656913e-05,0.000523197440676,0.117,0.724666666666667,0.607666666666667,"chr10:18107667-18107748"
"se","ENSMUSG00000020648","Dus4l","chr12","-",31648765,31648887,0.00404035183241,0.0194450061118,0.239,1,0.761,"chr12:31648765-31648887"
"se","ENSMUSG00000041143","Tmco4","chr4","+",138977207,138977322,0.00121555738101,0.00706354810272,-0.032,0.967666666666667,1,"chr4:138977207-138977322"
"se","ENSMUSG00000041143","Tmco4","chr4","+",138977207,138977322,1.94839708145e-06,3.35863626881e-05,-0.052,0.948333333333333,1,"chr4:138977207-138977322"
"se","ENSMUSG00000031174","Rpgr","chrX","-",10162601,10162690,0.00154777410238,0.00861941927316,-0.352,0.648,1,"chrX:10162601-10162690"
"se","ENSMUSG00000031488","Rab11fip1","chr8","-",27151596,27153159,0.00390614245789,0.0188655006297,-0.22,0.166666666666667,0.386333333333333,"chr8:27151596-27153159"
"se","ENSMUSG00000029505","Ep400","chr5","-",110753803,110753914,0.00335297457671,0.0165634325365,-0.023,0.0626666666666667,0.086,"chr5:110753803-110753914"
"se","ENSMUSG00000029505","Ep400","chr5","-",110755396,110756766,0.00155186879157,0.00863637302111,-0.029,0.951333333333333,0.98,"chr5:110755396-110756766"
"se","ENSMUSG00000038685","Rtel1","chr2","+",181322800,181322894,0.000287038755394,0.00210542030886,-0.056,0.943666666666667,1,"chr2:181322800-181322894"
"se","ENSMUSG00000038685","Rtel1","chr2","+",181349894,181349980,0.000142774920696,0.00117514192735,-0.097,0.897333333333333,0.994,"chr2:181349894-181349980"
"se","ENSMUSG00000027522","Stx16","chr2","+",174092401,174092567,0.00966592298774,0.0411164261597,-0.192,0.653666666666667,0.845666666666667,"chr2:174092401-174092567"
"se","ENSMUSG00000027522","Stx16","chr2","+",174093928,174094072,4.78617145916e-13,8.55528148325e-11,0.067,0.996,0.929,"chr2:174093928-174094072"
"se","ENSMUSG00000069520","Tmem19","chr10","-",115359653,115359767,5.49036697217e-08,1.72276920908e-06,-0.075,0.924666666666667,1,"chr10:115359653-115359767"
"se","ENSMUSG00000052707","Tnrc6a","chr7","+",123143749,123143837,0.00331803770288,0.0164155024139,-0.06,0.928,0.988,"chr7:123143749-123143837"
"se","ENSMUSG00000052707","Tnrc6a","chr7","+",123162493,123162877,5.67788965844e-08,1.76508308947e-06,0.064,1,0.936333333333333,"chr7:123162493-123162877"
"se","ENSMUSG00000052707","Tnrc6a","chr7","+",123175425,123175458,0.0105666581825,0.0441934623121,-0.119,0.823,0.942,"chr7:123175425-123175458"
"se","ENSMUSG00000027474","Ccm2l","chr2","+",153074771,153074907,0.000281494960898,0.00207029724149,0.155,1,0.844666666666667,"chr2:153074771-153074907"
"se","ENSMUSG00000020459","Mtif2","chr11","+",29529928,29530154,0.000389882014073,0.00270760545669,0.129,0.991,0.862,"chr11:29529928-29530154"
"se","ENSMUSG00000020459","Mtif2","chr11","+",29535089,29535266,0.00240785976058,0.0124519665921,0.038,1,0.961666666666667,"chr11:29535089-29535266"
"se","ENSMUSG00000021495","Fam193b","chr13","-",55555982,55556225,0.000128836527109,0.00108263499658,0.065,1,0.934666666666667,"chr13:55555982-55556225"
"se","ENSMUSG00000021495","Fam193b","chr13","-",55555982,55556225,6.11688797558e-06,8.60165428995e-05,0.105,1,0.895333333333333,"chr13:55555982-55556225"
"se","ENSMUSG00000021495","Fam193b","chr13","-",55564519,55564580,5.5208231875e-08,1.72276920908e-06,-0.083,0.917333333333333,1,"chr13:55564519-55564580"
"se","ENSMUSG00000032113","Chek1","chr9","-",36718330,36718435,1.14890142897e-05,0.000144890214719,0.078,0.983666666666667,0.905333333333333,"chr9:36718330-36718435"
"se","ENSMUSG00000031600","Vps37a","chr8","+",40541024,40541093,0.000210299998114,0.00161212464564,0.064,1,0.936,"chr8:40541024-40541093"
"se","ENSMUSG00000035310","Lin54","chr5","-",100454434,100454508,0.00471803111854,0.0222826024539,-0.046,0.946333333333333,0.992,"chr5:100454434-100454508"
"se","ENSMUSG00000035310","Lin54","chr5","-",100469824,100469923,6.56918963671e-13,1.10235024057e-10,0.117,0.116666666666667,0,"chr5:100469824-100469923"
"se","ENSMUSG00000041459","Tardbp","chr4","-",148616571,148616844,0.00374131940428,0.0182191286951,0.248,0.986666666666667,0.738333333333333,"chr4:148616571-148616844"
"se","ENSMUSG00000020098","Pcbd1","chr10","+",61092063,61092195,3.8108365167e-05,0.0003909495104,-0.047,0.953333333333333,1,"chr10:61092063-61092195"
"se","ENSMUSG00000020100","Slc29a3","chr10","-",60720860,60721023,0.0121410334307,0.0495063959256,0.021,0.981333333333333,0.96,"chr10:60720860-60721023"
"se","ENSMUSG00000020100","Slc29a3","chr10","-",60720860,60721023,0.000113227721463,0.000972339362642,0.127,1,0.872666666666667,"chr10:60720860-60721023"
"se","ENSMUSG00000020100","Slc29a3","chr10","-",60723763,60723990,0.000603385128588,0.00391118188397,0.181,1,0.819,"chr10:60723763-60723990"
"se","ENSMUSG00000020100","Slc29a3","chr10","-",60730569,60730652,0.000578802466797,0.00377864492516,0.061,0.99,0.929,"chr10:60730569-60730652"
"se","ENSMUSG00000020100","Slc29a3","chr10","-",60730569,60730652,0.000199517284183,0.00154621194081,-0.063,0.937333333333333,1,"chr10:60730569-60730652"
"se","ENSMUSG00000002017","Fam98a","chr17","-",75541195,75541380,0.000592997487078,0.00385905962604,0.048,0.997,0.949333333333333,"chr17:75541195-75541380"
"se","ENSMUSG00000013736","Trnt1","chr6","+",106770801,106770915,6.59039489648e-12,8.02807733871e-10,-0.108,0.027,0.134666666666667,"chr6:106770801-106770915"
"se","ENSMUSG00000058883","Zfp708","chr13","-",67074085,67074181,0.00354333060679,0.0173526122182,-0.228,0.772,1,"chr13:67074085-67074181"
"se","ENSMUSG00000020721","Helz","chr11","+",107613850,107614118,0.00146763295418,0.00824572050956,-0.028,0.972,1,"chr11:107613850-107614118"
"se","ENSMUSG00000020721","Helz","chr11","+",107646049,107646233,0.00240154660659,0.0124271346587,-0.014,0.978333333333333,0.992666666666667,"chr11:107646049-107646233"
"se","ENSMUSG00000026709","Dars2","chr1","-",161049937,161050000,0,0,0.199,0.964666666666667,0.765333333333333,"chr1:161049937-161050000"
"se","ENSMUSG00000002881","Nab1","chr1","-",52499849,52499997,0.0038984220061,0.0188391272084,0.018,0.0223333333333333,0.00433333333333333,"chr1:52499849-52499997"
"se","ENSMUSG00000003546","Klc4","chr17","-",46636912,46637014,2.40794696105e-06,3.95591286458e-05,0.078,1,0.922333333333333,"chr17:46636912-46637014"
"se","ENSMUSG00000034973","Dop1a","chr9","+",86548169,86548306,0.000194030602752,0.00150795522791,0.082,1,0.918,"chr9:86548169-86548306"
"se","ENSMUSG00000025730","Rab40c","chr17","-",25890200,25890511,1.06430324542e-06,2.02340657467e-05,0.114,0.114333333333333,0,"chr17:25890200-25890511"
"se","ENSMUSG00000024127","Prepl","chr17","-",85088339,85088442,0.000141964288815,0.00117022693211,0.153,0.423,0.269666666666667,"chr17:85088339-85088442"
"se","ENSMUSG00000040410","Fbxl4","chr4","+",22433145,22433258,0.000643043223968,0.00411152636787,-0.166,0,0.166333333333333,"chr4:22433145-22433258"
"se","ENSMUSG00000020400","Tnip1","chr11","-",54940710,54940882,0.00111979743156,0.00658621915665,0.096,0.975,0.879333333333333,"chr11:54940710-54940882"
"se","ENSMUSG00000022351","Sqle","chr15","+",59324461,59324557,0.00296967160924,0.0149346329095,-0.04,0.960333333333333,1,"chr15:59324461-59324557"
"se","ENSMUSG00000037669","Ldah","chr12","+",8227219,8227363,3.8306984208e-06,5.79005841269e-05,0.106,0.995333333333333,0.889,"chr12:8227219-8227363"
"se","ENSMUSG00000037669","Ldah","chr12","+",8238442,8238615,5.03678909802e-07,1.08986837785e-05,0.101,0.996,0.894666666666667,"chr12:8238442-8238615"
"se","ENSMUSG00000037669","Ldah","chr12","+",8275807,8275890,1.70616236861e-06,3.01538438369e-05,-0.051,0.944,0.995,"chr12:8275807-8275890"
"se","ENSMUSG00000040174","Alkbh3","chr2","-",94003052,94003156,5.97476973825e-05,0.000565659691108,0.09,1,0.910333333333333,"chr2:94003052-94003156"
"se","ENSMUSG00000045795","Whamm","chr7","+",81578150,81578301,1.19059233606e-05,0.000149118743081,0.072,1,0.927666666666667,"chr7:81578150-81578301"
"se","ENSMUSG00000038677","Scube3","chr17","+",28158880,28158928,1.47631823538e-05,0.000179173825689,-0.288,0.627,0.915,"chr17:28158880-28158928"
"se","ENSMUSG00000041431","Ccnb1","chr13","-",100783464,100783647,0.00946795829838,0.0403997338394,0.025,1,0.975333333333333,"chr13:100783464-100783647"
"se","ENSMUSG00000028412","Slc44a1","chr4","+",53536322,53536492,3.55018634379e-07,8.12262513435e-06,-0.046,0.946333333333333,0.992333333333333,"chr4:53536322-53536492"
"se","ENSMUSG00000019763","Rmnd1","chr10","-",4428408,4428465,0.000149850366018,0.00122540490759,-0.031,0.0173333333333333,0.0486666666666667,"chr10:4428408-4428465"
"se","ENSMUSG00000030123","Plxnd1","chr6","-",115969307,115969462,0.00396639142411,0.019128242513,0.094,1,0.906,"chr6:115969307-115969462"
"se","ENSMUSG00000050891","Tatdn1","chr15","-",58923904,58923968,0.00198039368703,0.0105738877218,0.071,1,0.929333333333333,"chr15:58923904-58923968"
